Initial Cost	Cost	Total iterations	Partial iterations	k	lambda
629744.0	381084.0	3000	600	25.0	1.0
629744.0	308335.0	3000	600	125.0	0.001
629744.0	297317.0	3000	600	125.0	0.01
629744.0	294746.0	3000	600	125.0	0.1
629744.0	384031.0	3000	600	125.0	1.0
629744.0	321276.0	3000	700	1.0	0.001
629744.0	309414.0	3000	700	1.0	0.01
629744.0	301281.0	3000	700	1.0	0.1
629744.0	388782.0	3000	700	1.0	1.0
629744.0	293233.0	3000	700	5.0	0.001
629744.0	334407.0	3000	700	5.0	0.01
629744.0	333235.0	3000	700	5.0	0.1
629744.0	350703.0	3000	700	5.0	1.0
629744.0	325751.0	3000	700	25.0	0.001
629744.0	285610.0	3000	700	25.0	0.01
629744.0	311146.0	3000	700	25.0	0.1
629744.0	394722.0	3000	700	25.0	1.0
629744.0	325298.0	3000	700	125.0	0.001
629744.0	335536.0	3000	700	125.0	0.01
629744.0	307516.0	3000	700	125.0	0.1
629744.0	376451.0	3000	700	125.0	1.0
629744.0	311990.0	3000	800	1.0	0.001
629744.0	307915.0	3000	800	1.0	0.01
629744.0	326823.0	3000	800	1.0	0.1
629744.0	408360.0	3000	800	1.0	1.0
629744.0	329094.0	3000	800	5.0	0.001
629744.0	294289.0	3000	800	5.0	0.01
629744.0	332847.0	3000	800	5.0	0.1
629744.0	453366.0	3000	800	5.0	1.0
629744.0	309386.0	3000	800	25.0	0.001
629744.0	295646.0	3000	800	25.0	0.01
629744.0	296058.0	3000	800	25.0	0.1
629744.0	429511.0	3000	800	25.0	1.0
629744.0	305809.0	3000	800	125.0	0.001
629744.0	288050.0	3000	800	125.0	0.01
629744.0	299274.0	3000	800	125.0	0.1
629744.0	448190.0	3000	800	125.0	1.0
629744.0	315061.0	3000	900	1.0	0.001
629744.0	319468.0	3000	900	1.0	0.01
629744.0	307882.0	3000	900	1.0	0.1
629744.0	396826.0	3000	900	1.0	1.0
629744.0	305668.0	3000	900	5.0	0.001
629744.0	297216.0	3000	900	5.0	0.01
629744.0	319021.0	3000	900	5.0	0.1
629744.0	431176.0	3000	900	5.0	1.0
629744.0	305853.0	3000	900	25.0	0.001
629744.0	302960.0	3000	900	25.0	0.01
629744.0	307145.0	3000	900	25.0	0.1
629744.0	419003.0	3000	900	25.0	1.0
629744.0	286714.0	3000	900	125.0	0.001
629744.0	350176.0	3000	900	125.0	0.01
629744.0	336544.0	3000	900	125.0	0.1
629744.0	433662.0	3000	900	125.0	1.0
629744.0	312205.0	3000	1000	1.0	0.001
629744.0	387282.0	3000	1000	1.0	0.01
629744.0	375804.0	3000	1000	1.0	0.1
629744.0	402132.0	3000	1000	1.0	1.0
629744.0	298702.0	3000	1000	5.0	0.001
629744.0	307279.0	3000	1000	5.0	0.01
629744.0	326957.0	3000	1000	5.0	0.1
629744.0	388906.0	3000	1000	5.0	1.0
629744.0	303939.0	3000	1000	25.0	0.001
629744.0	311053.0	3000	1000	25.0	0.01
629744.0	304215.0	3000	1000	25.0	0.1
629744.0	408215.0	3000	1000	25.0	1.0
629744.0	304182.0	3000	1000	125.0	0.001
629744.0	293879.0	3000	1000	125.0	0.01
629744.0	305239.0	3000	1000	125.0	0.1
629744.0	403497.0	3000	1000	125.0	1.0
629744.0	320483.0	4000	100	1.0	0.001
629744.0	292352.0	4000	100	1.0	0.01
629744.0	303577.0	4000	100	1.0	0.1
629744.0	461995.0	4000	100	1.0	1.0
629744.0	279116.0	4000	100	5.0	0.001
629744.0	285674.0	4000	100	5.0	0.01
629744.0	275973.0	4000	100	5.0	0.1
629744.0	399135.0	4000	100	5.0	1.0
629744.0	292624.0	4000	100	25.0	0.001
629744.0	294465.0	4000	100	25.0	0.01
629744.0	295238.0	4000	100	25.0	0.1
629744.0	426482.0	4000	100	25.0	1.0
629744.0	312044.0	4000	100	125.0	0.001
629744.0	295582.0	4000	100	125.0	0.01
629744.0	288780.0	4000	100	125.0	0.1
629744.0	415191.0	4000	100	125.0	1.0
629744.0	315041.0	4000	200	1.0	0.001
629744.0	318717.0	4000	200	1.0	0.01
629744.0	271925.0	4000	200	1.0	0.1
629744.0	425818.0	4000	200	1.0	1.0
629744.0	286706.0	4000	200	5.0	0.001
629744.0	310547.0	4000	200	5.0	0.01
629744.0	330405.0	4000	200	5.0	0.1
629744.0	422065.0	4000	200	5.0	1.0
629744.0	302839.0	4000	200	25.0	0.001
629744.0	268077.0	4000	200	25.0	0.01
629744.0	307437.0	4000	200	25.0	0.1
629744.0	395376.0	4000	200	25.0	1.0
629744.0	313934.0	4000	200	125.0	0.001
629744.0	318207.0	4000	200	125.0	0.01
629744.0	320073.0	4000	200	125.0	0.1
629744.0	437383.0	4000	200	125.0	1.0
629744.0	302621.0	4000	300	1.0	0.001
629744.0	279356.0	4000	300	1.0	0.01
629744.0	273002.0	4000	300	1.0	0.1
629744.0	383070.0	4000	300	1.0	1.0
629744.0	347849.0	4000	300	5.0	0.001
629744.0	293902.0	4000	300	5.0	0.01
629744.0	337516.0	4000	300	5.0	0.1
629744.0	394440.0	4000	300	5.0	1.0
629744.0	331567.0	4000	300	25.0	0.001
629744.0	336230.0	4000	300	25.0	0.01
629744.0	295597.0	4000	300	25.0	0.1
629744.0	431182.0	4000	300	25.0	1.0
629744.0	390332.0	4000	300	125.0	0.001
629744.0	368166.0	4000	300	125.0	0.01
629744.0	270436.0	4000	300	125.0	0.1
629744.0	413775.0	4000	300	125.0	1.0
629744.0	288265.0	4000	400	1.0	0.001
629744.0	381619.0	4000	400	1.0	0.01
629744.0	320577.0	4000	400	1.0	0.1
629744.0	429797.0	4000	400	1.0	1.0
629744.0	307650.0	4000	400	5.0	0.001
629744.0	296935.0	4000	400	5.0	0.01
629744.0	280688.0	4000	400	5.0	0.1
629744.0	459831.0	4000	400	5.0	1.0
629744.0	325335.0	4000	400	25.0	0.001
629744.0	297159.0	4000	400	25.0	0.01
629744.0	399499.0	4000	400	25.0	0.1
629744.0	425279.0	4000	400	25.0	1.0
629744.0	324714.0	4000	400	125.0	0.001
629744.0	362025.0	4000	400	125.0	0.01
629744.0	321836.0	4000	400	125.0	0.1
629744.0	431121.0	4000	400	125.0	1.0
629744.0	282695.0	4000	500	1.0	0.001
629744.0	290529.0	4000	500	1.0	0.01
629744.0	295821.0	4000	500	1.0	0.1
629744.0	368752.0	4000	500	1.0	1.0
629744.0	280689.0	4000	500	5.0	0.001
629744.0	284611.0	4000	500	5.0	0.01
629744.0	326363.0	4000	500	5.0	0.1
629744.0	395331.0	4000	500	5.0	1.0
629744.0	284495.0	4000	500	25.0	0.001
629744.0	291463.0	4000	500	25.0	0.01
629744.0	291653.0	4000	500	25.0	0.1
629744.0	373380.0	4000	500	25.0	1.0
629744.0	298577.0	4000	500	125.0	0.001
629744.0	296434.0	4000	500	125.0	0.01
629744.0	277184.0	4000	500	125.0	0.1
629744.0	375167.0	4000	500	125.0	1.0
629744.0	294037.0	4000	600	1.0	0.001
629744.0	290715.0	4000	600	1.0	0.01
629744.0	302816.0	4000	600	1.0	0.1
629744.0	388406.0	4000	600	1.0	1.0
629744.0	283135.0	4000	600	5.0	0.001
629744.0	326483.0	4000	600	5.0	0.01
629744.0	277730.0	4000	600	5.0	0.1
629744.0	338675.0	4000	600	5.0	1.0
629744.0	273348.0	4000	600	25.0	0.001
629744.0	292557.0	4000	600	25.0	0.01
629744.0	296227.0	4000	600	25.0	0.1
629744.0	388859.0	4000	600	25.0	1.0
629744.0	282111.0	4000	600	125.0	0.001
629744.0	313409.0	4000	600	125.0	0.01
629744.0	320753.0	4000	600	125.0	0.1
629744.0	361323.0	4000	600	125.0	1.0
629744.0	290872.0	4000	700	1.0	0.001
629744.0	289499.0	4000	700	1.0	0.01
629744.0	286187.0	4000	700	1.0	0.1
629744.0	383715.0	4000	700	1.0	1.0
629744.0	296172.0	4000	700	5.0	0.001
629744.0	293660.0	4000	700	5.0	0.01
629744.0	291829.0	4000	700	5.0	0.1
629744.0	361318.0	4000	700	5.0	1.0
629744.0	349094.0	4000	700	25.0	0.001
629744.0	330628.0	4000	700	25.0	0.01
629744.0	294082.0	4000	700	25.0	0.1
629744.0	386848.0	4000	700	25.0	1.0
629744.0	300884.0	4000	700	125.0	0.001
629744.0	278259.0	4000	700	125.0	0.01
629744.0	317181.0	4000	700	125.0	0.1
629744.0	364662.0	4000	700	125.0	1.0
629744.0	295546.0	4000	800	1.0	0.001
629744.0	263091.0	4000	800	1.0	0.01
629744.0	303061.0	4000	800	1.0	0.1
629744.0	446917.0	4000	800	1.0	1.0
629744.0	292496.0	4000	800	5.0	0.001
629744.0	308625.0	4000	800	5.0	0.01
